SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,SLEEP TIME,SLEEP INTERRUPTION,SLEEP HEALTH,RECOMMENDATIONS,CONSEQUENCES
90,7 1/2 hrs,18.00%,1 hrs 32 min,8 hours 12 minutes,Low Interruption,BAD,Increase deep sleep with relaxation techniques,Increased stress and mood swings
89,8 1/2 hrs,21.00%,1 hrs 49 min,9 hours 36 minutes,Low Interruption,GOOD,Nothing,Nothing
81,9 hrs,21.00%,1 hrs 30 min,10 hours 25 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
83,7 hrs,17.00%,1 hrs 17 min,7 hours 37 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
84,7 hrs,18.00%,1 hrs 27 min,7 hours 58 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
83,7 1/2 hrs,17.00%,1 hrs 24 min,8 hours 52 minutes,Moderate Interruption,GOOD,Nothing,Nothing
87,8 hrs,22.00%,1 hrs 6 min,8 hours 50 minutes,Low Interruption,GOOD,Nothing,Nothing
83,7 1/2 hrs,19.00%,1 hrs 20 min,8 hours 54 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
87,8 hrs,19.00%,1 hrs 13 min,9 hours 9 minutes,Low Interruption,GOOD,Nothing,Nothing
83,7 hrs,15.00%,1 hrs 15 min,7 hours 46 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
88,7 1/2 hrs,17.00%,1 hrs 27 min,8 hours 27 minutes,Low Interruption,GOOD,Nothing,Nothing
86,8 hrs,20.00%,1 hrs 31 min,9 hours 18 minutes,Low Interruption,GOOD,Nothing,Nothing
82,8 hrs,11.00%,1 hrs 0 min,9 hours 11 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
83,7 1/2 hrs,19.00%,1 hrs 40 min,8 hours 23 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
82,8 hrs,17.00%,1 hrs 31 min,9 hours 15 minutes,Moderate Interruption,GOOD,Nothing,Nothing
90,9 1/2 hrs,21.00%,1 hrs 38 min,10 hours 52 minutes,Low Interruption,GOOD,Nothing,Nothing
91,7 1/2 hrs,24.00%,1 hrs 3 min,8 hours 31 minutes,Low Interruption,BAD,Increase deep sleep with relaxation techniques,Increased stress and mood swings
89,8 hrs,17.00%,1 hrs 26 min,8 hours 50 minutes,Low Interruption,GOOD,Nothing,Nothing
82,8 hrs,15.00%,1 hrs 21 min,9 hours 4 minutes,Moderate Interruption,GOOD,Nothing,Nothing
75,7 hrs,20.00%,1 hrs 2 min,8 hours 5 minutes,Moderate Interruption,BAD,Maintain a consistent sleep schedule,Difficulty concentrating and memory loss
93,8 hrs,22.00%,1 hrs 54 min,9 hours 1 minutes,Low Interruption,GOOD,Nothing,Nothing
87,7 1/2 hrs,19.00%,0 hrs 37 min,8 hours 54 minutes,Low Interruption,BAD,Increase deep sleep with relaxation techniques,Increased stress and mood swings
